PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
1,0,3,"Braund, Mr. Owen Harris",True,22.0,1,0,A/5 21171,7.25,,S,0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",False,38.0,1,0,PC 17599,71.2833,C85,C,2
3,1,3,"Heikkinen, Miss. Laina",False,26.0,0,0,STON/O2. 3101282,7.925,,S,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",False,35.0,1,0,113803,53.1,C123,S,2
5,0,3,"Allen, Mr. William Henry",True,35.0,0,0,373450,8.05,,S,0
7,0,1,"McCarthy, Mr. Timothy J",True,54.0,0,0,17463,51.8625,E46,S,0
8,0,3,"Palsson, Master. Gosta Leonard",True,2.0,3,1,349909,21.075,,S,3
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",False,27.0,0,2,347742,11.1333,,S,2
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",False,14.0,1,0,237736,30.0708,,C,2
11,1,3,"Sandstrom, Miss. Marguerite Rut",False,4.0,1,1,PP 9549,16.7,G6,S,1
12,1,1,"Bonnell, Miss. Elizabeth",False,58.0,0,0,113783,26.55,C103,S,1
13,0,3,"Saundercock, Mr. William Henry",True,20.0,0,0,A/5. 2151,8.05,,S,0
14,0,3,"Andersson, Mr. Anders Johan",True,39.0,1,5,347082,31.275,,S,0
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",False,14.0,0,0,350406,7.8542,,S,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",False,55.0,0,0,248706,16.0,,S,2
17,0,3,"Rice, Master. Eugene",True,2.0,4,1,382652,29.125,,Q,3
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",False,31.0,1,0,345763,18.0,,S,2
21,0,2,"Fynney, Mr. Joseph J",True,35.0,0,0,239865,26.0,,S,0
22,1,2,"Beesley, Mr. Lawrence",True,34.0,0,0,248698,13.0,D56,S,0
23,1,3,"McGowan, Miss. Anna ""Annie""",False,15.0,0,0,330923,8.0292,,Q,1
24,1,1,"Sloper, Mr. William Thompson",True,28.0,0,0,113788,35.5,A6,S,0
25,0,3,"Palsson, Miss. Torborg Danira",False,8.0,3,1,349909,21.075,,S,1
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",False,38.0,1,5,347077,31.3875,,S,2
28,0,1,"Fortune, Mr. Charles Alexander",True,19.0,3,2,19950,263.0,C23 C25 C27,S,0
31,0,1,"Uruchurtu, Don. Manuel E",True,40.0,0,0,PC 17601,27.7208,,C,4
34,0,2,"Wheadon, Mr. Edward H",True,66.0,0,0,C.A. 24579,10.5,,S,0
35,0,1,"Meyer, Mr. Edgar Joseph",True,28.0,1,0,PC 17604,82.1708,,C,0
36,0,1,"Holverson, Mr. Alexander Oskar",True,42.0,1,0,113789,52.0,,S,0
38,0,3,"Cann, Mr. Ernest Charles",True,21.0,0,0,A./5. 2152,8.05,,S,0
39,0,3,"Vander Planke, Miss. Augusta Maria",False,18.0,2,0,345764,18.0,,S,1
40,1,3,"Nicola-Yarred, Miss. Jamila",False,14.0,1,0,2651,11.2417,,C,1
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",False,40.0,1,0,7546,9.475,,S,2
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",False,27.0,1,0,11668,21.0,,S,2
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",False,3.0,1,2,SC/Paris 2123,41.5792,,C,1
45,1,3,"Devaney, Miss. Margaret Delia",False,19.0,0,0,330958,7.8792,,Q,1
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",False,18.0,1,0,349237,17.8,,S,2
51,0,3,"Panula, Master. Juha Niilo",True,7.0,4,1,3101295,39.6875,,S,3
52,0,3,"Nosworthy, Mr. Richard Cater",True,21.0,0,0,A/4. 39886,7.8,,S,0
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",False,49.0,1,0,PC 17572,76.7292,D33,C,2
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",False,29.0,1,0,2926,26.0,,S,2
55,0,1,"Ostby, Mr. Engelhart Cornelius",True,65.0,0,1,113509,61.9792,B30,C,0
57,1,2,"Rugg, Miss. Emily",False,21.0,0,0,C.A. 31026,10.5,,S,1
58,0,3,"Novel, Mr. Mansouer",True,28.5,0,0,2697,7.2292,,C,0
59,1,2,"West, Miss. Constance Mirium",False,5.0,1,2,C.A. 34651,27.75,,S,1
60,0,3,"Goodwin, Master. William Frederick",True,11.0,5,2,CA 2144,46.9,,S,3
61,0,3,"Sirayanian, Mr. Orsen",True,22.0,0,0,2669,7.2292,,C,0
62,1,1,"Icard, Miss. Amelie",False,38.0,0,0,113572,80.0,B28,,1
63,0,1,"Harris, Mr. Henry Birkhardt",True,45.0,1,0,36973,83.475,C83,S,0
64,0,3,"Skoog, Master. Harald",True,4.0,3,2,347088,27.9,,S,3
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",False,29.0,0,0,C.A. 29395,10.5,F33,S,2
68,0,3,"Crease, Mr. Ernest James",True,19.0,0,0,S.P. 3464,8.1583,,S,0
69,1,3,"Andersson, Miss. Erna Alexandra",False,17.0,4,2,3101281,7.925,,S,1
70,0,3,"Kink, Mr. Vincenz",True,26.0,2,0,315151,8.6625,,S,0
71,0,2,"Jenkin, Mr. Stephen Curnow",True,32.0,0,0,C.A. 33111,10.5,,S,0
72,0,3,"Goodwin, Miss. Lillian Amy",False,16.0,5,2,CA 2144,46.9,,S,1
73,0,2,"Hood, Mr. Ambrose Jr",True,21.0,0,0,S.O.C. 14879,73.5,,S,0
74,0,3,"Chronopoulos, Mr. Apostolos",True,26.0,1,0,2680,14.4542,,C,0
75,1,3,"Bing, Mr. Lee",True,32.0,0,0,1601,56.4958,,S,0
76,0,3,"Moen, Mr. Sigurd Hansen",True,25.0,0,0,348123,7.65,F G73,S,0
79,1,2,"Caldwell, Master. Alden Gates",True,0.83,0,2,248738,29.0,,S,3
80,1,3,"Dowdell, Miss. Elizabeth",False,30.0,0,0,364516,12.475,,S,1
81,0,3,"Waelens, Mr. Achille",True,22.0,0,0,345767,9.0,,S,0
82,1,3,"Sheerlinck, Mr. Jan Baptist",True,29.0,0,0,345779,9.5,,S,0
84,0,1,"Carrau, Mr. Francisco M",True,28.0,0,0,113059,47.1,,S,0
85,1,2,"Ilett, Miss. Bertha",False,17.0,0,0,SO/C 14885,10.5,,S,1
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",False,33.0,3,0,3101278,15.85,,S,2
87,0,3,"Ford, Mr. William Neal",True,16.0,1,3,W./C. 6608,34.375,,S,0
89,1,1,"Fortune, Miss. Mabel Helen",False,23.0,3,2,19950,263.0,C23 C25 C27,S,1
90,0,3,"Celotti, Mr. Francesco",True,24.0,0,0,343275,8.05,,S,0
91,0,3,"Christmann, Mr. Emil",True,29.0,0,0,343276,8.05,,S,0
92,0,3,"Andreasson, Mr. Paul Edvin",True,20.0,0,0,347466,7.8542,,S,0
93,0,1,"Chaffee, Mr. Herbert Fuller",True,46.0,1,0,W.E.P. 5734,61.175,E31,S,0
94,0,3,"Dean, Mr. Bertram Frank",True,26.0,1,2,C.A. 2315,20.575,,S,0
95,0,3,"Coxon, Mr. Daniel",True,59.0,0,0,364500,7.25,,S,0
97,0,1,"Goldschmidt, Mr. George B",True,71.0,0,0,PC 17754,34.6542,A5,C,0
98,1,1,"Greenfield, Mr. William Bertram",True,23.0,0,1,PC 17759,63.3583,D10 D12,C,0
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",False,34.0,0,1,231919,23.0,,S,2
100,0,2,"Kantor, Mr. Sinai",True,34.0,1,0,244367,26.0,,S,0
101,0,3,"Petranec, Miss. Matilda",False,28.0,0,0,349245,7.8958,,S,1
103,0,1,"White, Mr. Richard Frasar",True,21.0,0,1,35281,77.2875,D26,S,0
104,0,3,"Johansson, Mr. Gustaf Joel",True,33.0,0,0,7540,8.6542,,S,0
105,0,3,"Gustafsson, Mr. Anders Vilhelm",True,37.0,2,0,3101276,7.925,,S,0
106,0,3,"Mionoff, Mr. Stoytcho",True,28.0,0,0,349207,7.8958,,S,0
